Vers-Chez-Grosjean
Brugg AG Nord (Abzw)
Full
Schinznach Dorf
Leibstadt
Saas-Fee Bifig
Rochers-de-Naye
Fontanivent
Sonloup
Pra-Perron
Glacier-des-Diablerets
Haut-de-Caux
Visp MGB-bvz
Stöfeli (Mittelstation 2)
Leukerbad (Talstation Gemmi)
Moosalp
Gluringen
Metsch (Talst. 2. Sekt.)
Madrisa (Schaffürggli)
Saas-Fee Chalbermatten
Curtinella (Alp Surlej)
Reckingen VS
Murtèl (Mandra)
Oberwald
Engelberg (Talst. Kabinenb.)
Blitzingen
St. Niklaus SO
Randa
Bitsch
Solalex
Zermatt GGB
Mörel
Rotenboden
La Clairière
Riffelberg
Fiesch Feriendorf
Enson-la-Fin
Gornergrat
Riffelboden
Spielboden
Gspon (Bergstation)
Martigny Aluminium (embr)
Sierre/Siders
Granges-Lens
Châteauneuf-Conthey
Issert
Aigle-Place-du-Marché
Le Châtelard-Frontière
Les Marécottes
Liestal Süd (Spw)
Lauenensee
Ried-Mörel
Visp Lonza
Leuk
Iselle di Trasquera
Nebikon
Derborence
Reiden
Wauwil
Oberkirch LU
Aarburg-Oftringen Süd (Abzw)
Gränichen
Unterkulm
Muhen Nord
Baar
Rudolfstetten Hofacker
Gisikon-Root
Gränichen Töndler
Ebikon
Dottikon-Dintikon
Binzenhof
Steinhausen
Zug
Hedingen
Dottikon Umspannanlage
Zug Landsgemeindeplatz (See)
Bremgarten Obertor
Oberwil bei Zug (See)
Ermensee
Niederhäusern
Mosen
Sursee Wassermatte
Gelfingen
Monthey Industrie
Zenstadlen
Gexi
Aarau GB
Wildegg
Suhr
Aarau Ost (Abzw)
Schinznach Bad
Lenzburg
Mellingen
Mägenwil
Fontany
Les Prises VS
Saanenwald (Saanerslochgrat)
Le Châble (Mayens de Bruson)
Pully
Villette VD
St-Saphorin
Le Lieu
Lausanne-Triage Sud
La Gaité (Champtauroz)
Jordils
Le Séchey
Ouchy
Le Rocheray
Chesalles-sur-Oron
Fey
Pont-de-Drapel
Le Solliat-La Golisse
Le Brassus
Prilly-Chasseur
Morges (lac)
Hermance (lac)
Tannay
Rivaz-St-Saphorin (lac)
Russin
Epsach-Baar
Coppet
Genève
Les Ronquoz
Lonay-Préverenges
Genolier
Sus-Châtel
L'Asse
Chardonney-Château
La Givrine
Ballens-Froideville
La Cure
Tolochenaz
Villars-Bozon
Bussy-Chardonney
Ballens
Zwirgi
Vufflens-la-Ville
Allières
Sendy-Sollard
Monthey Novartis/Ciba
Massongex
Monthey Giovanola (embr)
Monthey Centre agr Bas-V (embr
St-Gingolph (Suisse)
Wöschnau SBB
Bex
Fiescheralp
Champéry (Planachaux)
Croix-de-Culet
Ollon VD
Collombey-Village
Fayot
Monthey-Hôpital
Rennaz (Leysin)
Widen Heinrüti
Les Fontanelles
Col-de-Soud
Aigle-Dépôt
Plambuit
Zug Postplatz
Berneuse (Leysin)
Vers-l'Eglise
Gryon
Corseaux
Vevey (funi)
Tusinge
Territet
Ondallaz-L'Alliaz
Villeneuve VD
Chamby-Musée
Veytaux-Chillon
Glion-Collège
Felskinn
Les Echets
Zürich Altstetten
Zürich Flughafen
Siebnen-Wangen
Kilchberg ZH
Linthal Braunwaldbahn
Netstal
Glarus
Wädenswil
Coppet (lac)
Lutry (lac)
Glion
Chernex
La Montagnette (La Braye)
Les Avants (funi)
Muttbach-Belvédère
Versoix (lac)
Brig RB
Reusch
Staz. della Galleria Sempione
Bains-de-l'Etivaz
Münster VS
Herbriggen
Grengiols
Findelbach
Rocourt
Siviez (Super-Nendaz)
Ardon
Isenau
Finhaut
Visp
Sembrancher
Brig
Plain-Fahyn
Orsières
Domodossola (bif)
Etiez
Nufenen Passhöhe
Salgesch
Brittnau-Wikon
Dagmersellen
Aarburg-Oftringen
Sursee
Fionnay
Leuggelbach
Wilen bei Wollerau
RBL Kopf Zürich
Einsiedeln
Schindellegi-Feusisberg
Hinteregg
Biberbrugg
Samstagern
Distelberg
Zürich Schweighof
Obermuhen
Adliswil (Luftseilbahnstation)
Unterentfelden Oberdorf
Freienbach SOB
Reinach AG Nord
Zürich Friesenberg
Unterentfelden Post
Wollerau
Bremgarten Isenlauf
Neuhaus bei Hinteregg
Birrfeld
Spital Zollikerberg
Benzenschwil
Adliswil
Urdorf Weihermatt
Herrliberg-Feldmeilen
Zug Chollermüli
Birmensdorf Industrie
Walchwil (See)
Wallisellen
Mettmenstetten
Hinwil
Cham (See)
Emmenbrücke Gersag
Langwiesen
Hochdorf Schönau
Diessenhofen
Rothenburg Station
Kempraten
Hallwil
Ballwil
Zürich Central (Polybahn)
Seon
Döttingen
Birrwil
Zürich Polyterrasse
Hitzkirch
Däniken SO
Neunkirch
Beringen Bad Bf
Trasadingen
Zürich RB Limmattal Depot/Bau
Eidg. Magazine
Neuberg
Glattbrugg
Kempten
Kloten
Hürlistein (Abzw)
Opfikon
Pfäffikon SZ (See)
Bad Zurzach
Koblenz Dorf
Kaiserstuhl AG
Glattfelden
Hüntwangen-Wil
Herrliberg (See)
Vevey Vignerons
Bosquets
Fretereules
Brot-Dessous
Rudolfstetten
Berikon-Widen
Bremgarten
Rapperswil SG (See)
Palézieux-Village
Vauderens
Romont FR
Palézieux
Rosé
Gorgier-St-Aubin
Vaumarcus débarcadère
Zürich Vorbahnhof
Neuchâtel Est (bif)
Zürich Tiefenbrunnen
Corcelles-Peseux
Zürich Mülligen
Les Bayards
Zürich Vorbahnhof West
Champ-du-Moulin
Zürich Oerlikon
Les Hauts-Geneveys
Auvernier
Neuchâtel
Zürich Affoltern
La Heutte
Zürich Cargo
La Verrerie
Reuchenette-Péry
Sonceboz-Sombeval
Môtiers NE
Neirivue
Buttes
Villars-sous-Mont
Gruyères
Valeyres-sous-Montagny
Sâles
Farvagny-le-Petit
Les Chavannes-sous-Romont
Schübelbach-Buttikon
Bern Bümpliz Süd
Linthal
Faoug
Bilten
Niederwangen
Näfels-Mollis
Murten/Morat
Nieder- und Oberurnen
Cheyres
Muntelier
Horgen
Richterswil
Nidelbad Süd (Abzw)
Sévaz (embr)
Hoch-Ybrig Seebli
Léchelles
Cousset
Moudon
Givisiez
Granges-Marnand
Trey
Sugiez
Flamatt Dorf
Hagneck
Ins
Neuchâtel Port-de-Serrières
Bern Bümpliz Nord
Neuchâtel (bateau)
Schneehüenerstock
Colombier NE Littorail
St-Aubin NE (bateau)
Gorgier-Chez-le-Bart
La Sauge (bateau)
Büren (Schiff)
Cottendart (embr)
Etzelwil
Mitlödi
Grotzenbüel (Hüttenberg)
Nidfurn-Haslen
Kies (Niederental)
Hafen Bäch (Spw)
Riedmatt SZ
Langwies ZH
Twann (Schiff)
Scheuren
St. Petersinsel Nord
Borrweg
Münchenbuchsee
Biberegg
Solothurn (Schiff)
Zürich HB SZU
Sihlau
Aarberg
Uznach
Sood-Oberleimbach
Studen Auto
Zollikon
Wald ZH
Jona
Biel Mett
Frasses
Stäfa
Dübendorf
Feuerthalen
Neuthal
Schlatt TG
Zürich Storchen
Zürich Landesmuseum (See)
Schaffhausen Bad Bf
Glanzenberg
Neuhausen Bad Bf
Siggenthal-Würenlingen
Wettingen
RBL Mitte (Abzw)
RBL L-Gruppe
Murten/Morat (Schiff/bateau)
RBL Nord (Abzw)
Hurden
Nidelbad Ost (Abzw)
Mauvoisin
Zollhaus FR
Sales (Sarine)
Niederweningen Dorf
Riet (Verzw)
Beffeux
Niederglatt ICF
Mayen-sur-Vionnaz
Altendorf Seestatt
Revereulaz
Kaltenboden (Agl)
Lottstetten
Zweidlen
Arth-Goldau
Meggen Zentrum
Fluhmühle (Abzw)
Rigi Staffel
L'Hospitalet
Zürichhorn (See)
Tête d'Aï (télésiège Mayen)
Acquarossa-Comprovasco
Altanca (funicolare)
Grindelwald Terminal (Eiger)
Maroggia-Melano
Riet (Neftenbach)
Schmerikon (See)
Zürich Bürkliplatz (See)
Richterswil (See)
Insel Ufenau
Bressonnaz
Oron
Bürg
Villaz-St-Pierre
Cottens FR
Melide
Bossy Bois (embr)
Zürich Bellevue (See)
Châtillens
Zürich Tiefenbrunnen (See)
Bossy Moulins (embr)
Stoos SZ
Semsales
Corseaux-Cornalles
Flüelen
Amsteg-Silenen
Tschamut-Selva
Bugnei
Ambrì-Piotta
Castione-Arbedo
Tegna
Verscio
Corcapolo
La Neuveville
Camedo
Tüscherz
Onnens-Bonvillars PMP
Cavallino (lago)
Morcote (lago)
Les Deurres
Cantine di Gandria (lago)
Lugano Excelsior (lago)
Laupen BE
Boveresse
Montmollin-Montezillon
Creggio
Chambrelien
Masera
Pazzallo (funicolare)
Les Geneveys-sur-Coffrane
Ribellasca
Convers
Monte San Salvatore
Neuchâtel-Serrières
Lugano Vedeggio
S. Maria Maggiore
Cornaux NE
Aldesago
Biel/Bienne
Magliaso Paese
Vuadens-Sud
Bioggio
Magliaso
St-Sulpice NE
St-Imier
Le Creux
Tenero
Essert-sous-Champvent
Riazzino
Gordola
Solduno S. Martino
Trois-Villes
Dompierre FR
Locarno (lago)
Locarno S. Antonio
Thörishaus Dorf
Locarno FART
Estavayer-le-Lac
Steinmatten
Balm (Klausen)
Gotthard Passhöhe
Pensier
Henniez
Löchligut (Abzw)
Gordemo
Siselen-Finsterhennen
Gampelen
Porto Ronco (lago)
Nidau
Ipsach
Müntschemier
Scalate
Auvernier Littorail
Finsterhennen
Capolago (lago)
Caslano (lago)
Les Pontis
Grandson (bateau)
Concise (bateau)
Cudrefin
Mahlenwald
Engeloch VS
Estavayer-le-Lac (bateau)
Altreu
Sirnach
Ligerz (Talstation)
Sennhof-Kyburg
St. Petersinsel Süd
Aadorf
Stammheim
Henggart
Wila
Dinhard
Oberwinterthur Unterhaltanlage
Reutlingen
Mohren
Starkenbach
Ligerz (Schiff)
La Sagne
La Neuveville (bateau)
Fräschels
Kerzers
Zollikofen
Bargen BE
Saut-du-Doubs
Lyss
Ossingen
Courfaivre
Sorvilier
Horn (See)
Malleray-Bévilard
Courchavon
Buix
Märstetten
Grenchen Nord
Boncourt
Erlen
Tunnelblock (Grenchenberg)
Nante
Bure-Casernes
Basel SBB RB Gr D
Basel SBB RB Gr E
Bärschwil
Basel Dreispitz
Le Creux-des-Biches
Le Noirmont
Duggingen
Tramelan
Hérémence
Dornach-Arlesheim
Klausen Passhöhe
Bellevue NE
Luterbach-Attisholz
Mâche
Bettlach
Wangen an der Aare
Oberbuchsiten
Seebensäge
Chaux Ronde (Gryon)
Les Ecasseys
Bellach
Wasserauen (Ebenalpbahn)
Oensingen
Brülisau (Kastenbahn)
Egerkingen
Büren an der Aare
Kronberg
Basel SBB GB Ost
Arch
Rümlingen
Steinegg
Birsfelden Hafen
Schwende
Pratteln
Meggen
Sulzbrunn
Nesslau-Neu St. Johann
Gütsch (Abzw)
Rorschach
Liestal
Rigi Wölfertschen-First
Rheineck
Itingen
Goldach
St. Margrethen SG
Basel SBB GB
Vitznau RB
St. Gallen GB
Wasserfallen
Herisau
Dornach
Walzenhausen
Urdenfürggli (Bergstation)
Brunnadern-Neckertal
Parpan Obertor
Heiden
Hérémence Les Masses
Rigi Scheidegg
Bendlehn
Albanas
Romanshorn (See)
Le Rotsé (St-Luc)
Weinfelden KVA Thurgau (Abzw)
Rank
Monte Carasso (funivia)
Romanshorn VL
Münsterlingen-Scherzingen
St. Katharinental
Olten VL
Romanshorn
Malbun (Vaduzer Täli Talst.)
Schaffhausen (Schifflände)
Eigergletscher (Arvengarten)
Stein am Rhein (Schifflände)
Steckborn (See)
Espel (Talst.Stöfelibahn)
Frauenfeld Marktplatz
Im Holz
Tägerwilen-Gottlieben
Ischalp (Talst. Jakobshorn)
Münchwilen Pflegeheim
Solothurn Baseltor
Berlingen (See)
Klus
Mannenbach-Salenstein
Flumenthal
Murkart
Koblenz
Mannenbach (See)
Stein-Säckingen
Mammern
Dossenboden (Spw)
Steckborn
Brugg AG Süd (Abzw)
Weinfelden Süd
Blatten b. Naters (Chiematte)
Eschenz
Bussnang
Bazenheid
Flawil
Uzwil
Ocourt
Villarsel-sur-Marly
Arnegg
Montignez
Tägerwilen Dorf
Wattwil
Sitterdorf
Bazenheid ZAB (Agl)
Pianotondo (c bin)
Acquacalda
Grindelwald Terminal
Rivera-Bironico
Motto-Ludiano
Gossau SG AB
Lamone-Cadempino
Le Chésal
Pardorea (c bin)
Basel Schifflände
Piora
Croix-des-Ruinettes (Attelas)
Chiasso Confine
Bern Ost (Spw)
Niederteufen
Lustmühle
Gais
Hebrig
Stoss AR
Altenrhein Schifflände
Lunschania
Lottigna
Morschach Talstat. (Luftseilb)
Balerna
Sisikon
Altdorf UR
Bonatchiesse
Zgraggen (Spw)
Mumpé Tujetsch
Gemsstock
Giubiasco
Ponte Brolla
Solduno
Sidelenbach (Furka)
Brusino Arsizio Funivia (lago)
Les Cerlatez
Vira (Gambarogno) (lago)
Folsogno-Dissimo
Isella-Olgia
Gagnone-Orcesco
Paradiso (funicolare)
Verigo
Saas-Fee Bifig (Spielboden)
Re
Cadenazzo
Fuorcla Grischa (Lej Pêsch)
Agno
Ponte Tresa
Minusio
Lutry
Les Charbonnières
Urigen
Vernand-Camarès
Assens
Bercher
La Tour-de-Peilz
Bière-Casernes
Chez-le-Maître
Scesana
Rossfall
Lausanne-Chauderon
Anières (lac)
Steinfluh
Mies
La Plaine-Frontière
St-Sulpice VD (lac)
Diga Verzasca
St-Prex
Fosano
Les Tuileries
Jonction (Genève)
Genève-Aéroport
Les Pralies
Denges-Echandens
Le Manège
Le Muids
Lausanne-Ouchy (lac)
St-Gingolph (Suisse) (lac)
Bière
Chigny
L'Isle
Eschlikon TG
Les Avants
Arnex
Winterthur
Croy-Romainmôtier
Rikon
La Sarraz
Ramsen
Ependes VD
Hemishofen
Rougemont
Wiesendangen
Cossonay-Penthalaz
Turbenthal
Eclépens
Andelfingen
St-Triphon
Winterthur West (Abzw)
Aigle
Bern Weyermannshaus
Eggishorn
Winterthur Wallrüti
Wankdorf (Abzw)
Hannigalp (Bergst. Grächen)
Rüfenacht
Les Diablerets
Worb Dorf
Fontanney
Muri bei Bern
Les Posses
Boll-Utzigen
Charrat-Fully
Burgistein
Les Aviolats
Bern Weissenbühl
Hauteville
Bern Holligen
Lustdorf
Château-de-Blonay
Schwarzenburg
Montreux
Lally
Roche VD
Ostermundigen
La Videmanette
Toveyre
Schönried
Matten i.S.
Le Tremblex
Münsingen
Villeneuve VD (lac)
Wimmis
Crêt-d'y-Bau
Jaman
Weissenburg
Schreckfeld (Firstbahn)
Heimwehfluh
Harder Kulm
Männlichen (Gondelbahn)
Alpiglen
Männlichen (Luftseilb. Wengen)
Mürren BLM
Einigen (See)
Beatushöhlen-Sundlauenen
Interlaken West (See)
Gwatt Deltapark (See)
Schynige Platte
Wilderswil
Landquart GB
Erlenbach i.S. (Stockhornbahn)
Ronco (Quinto)
Catto
Chinchengo
Gresso
Winterthur Wülflingen
Maccagno
Bürglen TG
Ossasco (Bedretto)
Ritorto (Bavona)
Veglia di Peccia
Säntis
Chäserrugg
Urnäsch
Zürchersmühle
St. Gallen Bruggen
Gonten
Jakobsbad
Goldach MOAG (Agl)
La Perche
Horn
St-Prex (lac)
Au SG
Avry-Matran
Wienacht-Tobel
Montreux MVR-mtgn
Wartensee
Martigny-Bourg CT
Eyholz
Vögelinsegg
Mont-Fleuri TMF
Schwendi bei Heiden
Geschinen
Speicher
Raron (Talstation Unterbäch)
Romanshorn West (Abzw)
Gemmipass
Güttingen
Ackersand
Bottighofen
Biel (Goms)
Kreuzlingen Hafen
Obergesteln
Kreuzlingen Hafen (See)
Niederwald
Uttwil
Lüdem
Fiesch
Bronschhofen
Siegershausen
Staldenried
Wil SG
Versmont
Kradolf
Lichtensteig
Changins
Bischofszell Stadt
Mittelallalin
Gamsensand
Col-du-Sanetsch
Oberei bei Wasen i.E.
Sion
Lac d'Emosson
Vernayaz MC
Martigny-Croix
Bovernier
La Douay
Raron
Sierre/Siders (funi)
Mandement (diag)
Venthône
Bluche
Salzegg
Crans-Montana gare
Gfeld
Grosse Scheidegg
Happerswil
Witimatte
Gampel-Steg
Bussalp
Varzo
Mattmark
Sternen bei Teufen
Betten Dorf
Roggwil-Berg
Oeschinen (Bergstation)
Altstätten Stadt
Muolen
Sammelplatz
Sempach-Neuenkirch
Huteggen
Itramen Egg
Teufen AR Stofel
La Fouly VS
Praz-de-Fort
Schöftland Nordweg
Oberkulm
Mittelmuhen
Eggerberg
Oberentfelden Engelplatz
Schöftland
Reichenbach im Kandertal
Aarau AVA
Hohtenn
Cham
Ausserberg
Muri AG
Heustrich-Emdthal
Rotkreuz
Interlaken Ost
Mühlau
Blausee-Mitholz
Knonau
Sins
Frutigen
Zug Oberwil
Goldau Mühlefluh (Verzw)
Birmensdorf ZH
Immensee (See)
Rotsee (Verzw)
Buonas (See)
Zufikon Belvédère
Bergfrieden
Emmenbrücke
Eschenbach LU
Baldegg
Beinwil am See
Büron-Bad Knutwil
Dättwil
Holderbank AG
Triengen-Winikon
Dulliken
Oberentfelden
Bluematt
Däniken West (Abzw)
Hunzenschwil
Buchs AG
Trümmelbachfälle
Schönbühl RBS
Schalunen
Langenthal
Aefligen
Rothrist
Murgenthal
Agasul
Holzhäusern
Lendikon
Romont BE
Langenloh
Vechigen
Toffen
Rumistal
Lerchenfeld
Kehrsatz
Brügglen b. Kaltacker
Kehrsatz Nord
Belp
Schwarzwasserbrücke
Uetendorf Allmend
Bern Fischermätteli
Köniz
Moos
Niederscherli
Lanzenhäusern
Langacher (Spw)
Zufikon
Rubigen
St. Stephan
Gruben
Lenk im Simmental
Stöckli
Eifeld
Boltigen
Galgenbühl (Agl)
Enge im Simmental
Ringoldingen
Hindelbank
Eigerwand
Jungfraujoch
Lyssach
Wengernalp
Kleine Scheidegg
Willisau
Lauterbrunnen (Seilbahn)
Menznau
Merligen (See)
Oberried am Brienzersee
Faulensee (See)
Ebligen
Lütschental
Alpnach Dorf
Breitlauenen
Tössmühle Süd (Vzw)
Beatenbucht
Brünig-Hasliberg
Winterthur Eichliacker (Vzw)
Luzern Allmend/Messe
Giessbach Hotel
Beatenberg
Brienzer Rothorn (Seilbahn)
Niederhorn
Stans
Käserstatt
Niederried (See)
Langenthal [Gleis 4-5]
Aarwangen Hard
Scheyenholz
Tschäppel
Kleindietwil
Entlebuch
Wiggen
Werthenstein
Zürich HB
Schüpfheim
Malters
Zürich Stadelhofen
Aarwangen Vorstadt
Zürich Kollerwiese (Spw)
Zürich Hardbrücke West (Spw)
Biglen
Zürich Enge
Sumiswald-Grünen
Schwäbis
Bigenthal
Zürich Herdern Abstellgruppe
Lädeli
Zürich Wipkingen
Seeburg
Krienseregg
Meggen (See)
Stand
Kehrsiten Dorf
Bürgenstock Resort
Kehrsiten-Bürgenstock (Talst.)
Titlis
Klusstalden
Diesbach-Betschwanden
Luchsingen-Hätzingen
Oberrieden
Ziegelbrücke
Braunwald
Schwanden GL
Langis
Oberramsern
St. Jakob (Ennetmoos)
Thalheim an der Thur
Küblis
Davos Glaris
Davos Platz Schatzalpbahn
Klosters Selfranga
Brambrüesch
St. Peter-Molinis
Weisshorn
Bannwald
Sandweid
Strättli
Mülenen (Niesenbahn)
Rinderberg
Schwandegg
Rarnerkumme (Spw)
Interlaken West
Kandersteg
Gwatt
Krattighalde
Faulensee
Wiler (Lötschen) (Talstation)
Kleiner Gumen
Meilibach (Abzw)
RBL Depot
Rothenthurm
RBL A-Gruppe
Zürich Langstrasse
Esslingen
Egg
Burghalden
Felsenegg
Zürich Binz
Zollikerberg
Zumikon
Grüenfeld
Waltikon
Wildpark-Höfli
Altmatt
Neue Forch
Zürich Giesshübel
Zürich Selnau
Sihlwald
Zürich Manegg
Schänis
Tann-Dürnten
Zürich Leimbach
Langnau-Gattikon
Ried (Lötschen)
Wetzikon ZH
Luzern Brünig-Einfahrt (Abzw)
Bubikon
Uetikon
Burgdorf Steinhof
Aathal
Meilen
Schwerzenbach ZH
Oberburg
Kirchberg-Alchenflüh
Ettenhausen-Emmetschloo
Utzenstorf
Tavanasa-Breil/Brigels
Steg
Gerlafingen
Schaffhausen GB
Bützberg Ost (Agl)
Schmerikon
Landquart
Lüderenalp
Baden
Trimmis (Spw)
Killwangen-Spreitenbach
Felsberg Joos
Otelfingen Golfpark
Dietikon
Schneehüenerstock (Vord.Felli)
RBL R-Gruppe
Gütsch (Bergst. Oberalp)
Pfäffikon ZH
La Vouarda (Sorebois)
Niederglatt ZH
Niederhasli
Bernina Lagalb
Effretikon
Le Prese
Bassersdorf
Curtinatsch
Rüthi SG
Kloten Balsberg
Oberriet SG
Dorfnest (Abzw)
Räfis-Burgerau
Bäretswil Tobel (Agl)
Ermatingen Ausweiche (Dsta)
Filisur
Cruschetta (B)
Rümlang
Strahlgand (Bergst. Oberalp)
Susch
Lavin
Madulain
Rekingen AG
Piz Nair
Corviglia (Talstat. Piz Nair)
Corviglia (Bergstation)
Muottas Muragl
Punt Muragl (Talstation)
Buchs SG Nord (Abzw)
Bülach
Eglisau
Altenburg-Rheinau
Parpaner Rothorn
Thurnen Süd (Ausw)
Zollikon (See)
Safien Platz
Oberrieden (See)
Hüttenberg
Horgen (See)
Schönbühl SBB Leerwagen
Schönbühl SBB
Zell LU
Gettnau
Sarnen
Ewil Maxon
Horw
Chäppeli
Planalp
Kälti
Lungern (Turren-Bahn)
Trübsee
Brienz (See)
Interlaken Ost (See)
Wolfenschiessen
Grafenort
Roggwil Buchägerten
Bowil
Lindenholz
Worb SBB
Zäziwil
Langnau i.E.
Rohrbach
Wolhusen
Signau
Luzern Littau
Steffisburg
Heimberg
Wallisellen Belair (Vzw)
Hasle-Rüegsau
Schafhausen i.E.
Neumühle
Brunnen (See)
Hertenstein (See)
Beckenried (See)
St. Niklausen LU (See)
Stansstad (See)
Uetikon am See (See)
Thalwil (See)
Moreillon
Grandvaux
Davos Wolfgang
Chénens
Schiers
Neyruz FR
Davos Wiesen
Klosters Platz (Gotschnabahn)
Landquart Ried
Weissfluhjoch
Weissfluhgipfel
Ischalp
Schatzalp
Jatzmeder
Arosa
Litzirüti
Felsberg
Domat/Ems Werk
Pfäffikon SZ Hurdnerfeld
Neuchâtel-Triage
Bevaix
Landquart Güterverkehr
Colombier NE
Boudry
Dietikon Güterbahnhof
Neuenegg
Couvet CFF
Grandson
Chavannes
Yverdon-les-Bains
Bern West (Spw)
La Presta Mines d'asphalte
Courtelary
Montbovon
Cormoret
Albeuve
Vaulruz-Nord
Le Crêt-du-Locle
Vuisternens-devant-Romont
Le Locle-Col-des-Roches
Baulmes
Le Locle-Frontière
Düdingen
Bern Europaplatz
Frinvillier-Taubenloch
Cugy FR
Payerne
Belfaux CFF
Ressudens
Muntelier-Löwenberg
Courtepin
Domdidier
Trélex dépôt
Löchligut Süd (Abzw)
Winterthur West Unterquerung
Basel St. Jakob Nord (Abzw)
Hagnau Mitte (Spw)
Nidau Beunden
Basel SBB Tiefbahnhof
Ipsach Herdi
Rohr b. Olten
Reckenberg (Abzw)
La Chaux-de-Fonds Les Forges
Wanzwil Ost (Abzw)
Neuchâtel-Serrières (bateau)
Biel/Bienne Beaumont
Zürich Tiefenbrunnen Nord(Spw)
Biel/Bienne Leubringenb.(Funi)
Evilard/Leubringen
Biel/Bienne Hohfluh
Zürich Hottingen Süd (Abzw)
Mont-Soleil (funiculaire)
St-Imier (funiculaire)
Sugiez (bateau)
Port
Ligerz Pilgerweg
Biel/Bienne (Schiff/bateau)
Engelberg-Wingreis
La Chaux-de-Fonds-Grenier
St. Niklaus b. Koppigen
Zizers SBB
Neustadttunnel Ost (Vzw)
Bad Ragaz
Chur Wiesental
Ebikon Süd (Abzw)
Luzern Tiefbahnhof
Oberalp Vordere Felli (Talst.)
Igis
Punt Muragl Staz
Bernina Suot
Brusio
Tirano
Murtèl
Corvatsch
Mels
Walenstadt
Unterterzen
Sevelen
Neugrüt (Verzw)
Trübbach Süd
Tiefencastel
Alvaneu
Thusis
Riederalp Blausee (Riederalp)
Celerina
La Punt Chamues-ch
Sagliains
Chantarella
Motta Naluns
Arosa (Mittelstation)Weisshorn
Ragol
Burgdorf Steinhof West (Spw)
Oberwald DFB
Le Reymond
Neuchâtel Place Pury Littorail
Obertschappina
La Sagne-Eglise
Les Coeudres
Kallnach
Schüpfen
Ebnat-Kappel Süd
Les Brenets
Busswil BE
Le Moléson
Seedorf FR
Vers-Morey
Mazembroz
Chesalles-sur-Moudon
Basel SBB Süd
Küssnacht am Rigi
Brunnmatt (Spw)
Luzern Einfahrt (Abzw)
Arth-Goldau RB
Goldau A4
Romiti Felsentor
Freibergen
Kräbel
Mittlerschwanden
Albula (B)
Les Bugnenets
Vigana (c bin)
Mezzovico
